trial,B,num_digits,x,y,carry_mass,carry_depth,carry_entropy,carry_count,raw_support_size,final_support_size,max_raw_coefficient
0,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
1,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
2,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
3,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
4,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
5,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
6,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
7,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
8,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
9,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
10,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
11,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
12,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
13,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
14,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
15,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
16,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
17,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
18,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
19,2,8,255,255,56,15,3.6100053707958026,14,15,8,8
0,10,8,67275223,99749683,201,15,3.6074940896573513,14,15,12,228
1,10,8,88354296,23231517,114,15,3.7648756940521886,15,15,13,139
2,10,8,16662449,66224654,140,15,3.706547396727562,15,15,15,184
3,10,8,82189333,14845891,158,15,3.5112737699688523,14,15,12,212
4,10,8,52474125,18594278,138,14,3.6148726174473955,14,15,13,152
5,10,8,52646195,72852781,161,15,3.6159557734007657,14,15,16,199
6,10,8,42368461,65721954,138,15,3.5681644176287106,14,15,15,165
7,10,8,91319256,95466379,188,15,3.7642600434718063,15,15,14,244
8,10,8,19572833,48316652,140,14,3.531112173144011,13,15,14,181
9,10,8,31466481,66769155,158,15,3.544502290517923,14,15,13,202
10,10,8,19944628,74513385,164,15,3.7092432484621964,15,15,15,214
11,10,8,41529577,91876998,244,15,3.6373348609922322,15,15,16,274
12,10,8,99949546,93443824,217,15,3.6960354521343834,15,15,14,260
13,10,8,24827468,16496432,151,14,3.4998535101496557,14,15,14,190
14,10,8,28876144,71252391,127,15,3.6127864244097347,14,15,12,176
15,10,8,58184231,67252983,143,15,3.5820367264422366,14,15,13,194
16,10,8,41281344,76585756,139,15,3.6793526598865274,15,15,15,158
17,10,8,43226475,88313778,157,15,3.7319331694069566,15,15,15,187
18,10,8,37485935,19143418,144,14,3.631050323557685,14,15,13,191
19,10,8,59353363,11716852,118,14,3.4766512423223412,13,15,15,150
0,16,8,2657404852,2199449340,327,15,3.6147301789896034,15,15,15,626
1,16,8,2175185182,1205391283,247,15,3.6178562554437756,15,15,15,463
2,16,8,3970213567,775827901,325,15,3.7321686858005516,15,15,14,678
3,16,8,3033211478,3161012184,236,15,3.7046848630897413,15,15,13,413
4,16,8,1908569305,4269120132,257,15,3.6922331256658656,15,15,16,554
5,16,8,3268712040,953572770,233,15,3.6188529851389557,15,15,13,437
6,16,8,1566210655,1794398644,293,15,3.668325375449031,15,15,13,576
7,16,8,3308860370,2201538427,215,15,3.6650606165209423,15,15,15,408
8,16,8,4001559794,2282974542,271,15,3.672638862071033,15,15,16,553
9,16,8,502518316,509515260,297,14,3.5687690698230674,14,15,14,719
10,16,8,1045838115,2082453800,188,15,3.5279876760144457,15,15,14,402
11,16,8,1044856788,3816560591,290,15,3.6913686239363734,15,15,15,593
12,16,8,663087549,3622795673,375,15,3.6262753951448707,15,15,14,770
13,16,8,2560843004,4090916344,384,15,3.7265662022455333,15,15,14,751
14,16,8,2116811678,2771186757,310,15,3.613139658086197,15,15,14,651
15,16,8,3286125687,3622280074,373,15,3.680905429936711,15,15,14,749
16,16,8,3282552820,977779642,305,15,3.611839754349265,15,15,16,614
17,16,8,3578891391,1179050951,238,15,3.697727260846376,15,15,16,431
18,16,8,1852929822,2369984873,195,15,3.737219992187906,15,15,15,391
19,16,8,2467802259,794110324,168,15,3.556684849407884,14,15,16,375
0,100,8,4581457784251925,1801863459174237,1182,15,3.499710442812835,15,15,16,16131
1,100,8,7364599534032536,209628555626586,1666,15,3.488431890484329,15,15,16,22694
2,100,8,9723331223234567,6773520841142980,1179,15,3.7785174201795138,15,15,16,18535
3,100,8,2005383391738558,7799915435821278,2142,15,3.5864786933568484,15,15,16,30329
4,100,8,5901480145960597,7084106703979032,1603,15,3.669288728740503,15,15,16,19908
5,100,8,920907465449790,8591569771201030,2266,15,3.502872189460546,15,15,15,32770
6,100,8,3063407309795241,4936995943030754,1364,15,3.6140536452530703,15,15,16,17553
7,100,8,9803783918608703,8082923351734540,1926,15,3.6593295758115048,15,15,16,25226
8,100,8,5848103393027903,6299401128531232,1100,15,3.593402438422236,14,15,16,15179
9,100,8,8986657149504570,4817459405893629,1918,15,3.664965621073548,15,15,16,23072
10,100,8,6539455141307018,2344571502357364,1128,15,3.709437003212664,15,15,16,14503
11,100,8,3334808250131132,267612660459708,1231,14,3.443421043826359,14,15,15,17875
12,100,8,8572874238041080,3203671434268199,1495,15,3.6760293595519618,15,15,16,21327
13,100,8,4349984167253703,8513254505188790,1341,15,3.6821234477621245,15,15,16,16098
14,100,8,4502167754253873,359879275896801,1574,15,3.4839424237651966,14,15,16,21906
15,100,8,8213195738957776,1424147653223775,1448,15,3.642078944080956,15,15,15,17628
16,100,8,3792406989852566,113137825325011,1125,14,3.4326772749195724,14,15,15,16450
17,100,8,8331257430642283,8717455582987873,2218,15,3.7318519825437915,15,15,16,29120
18,100,8,1872842011399201,1192656928067231,1267,15,3.4948461602903773,14,15,14,18575
19,100,8,3619613955067603,7832908271055337,1327,15,3.550943141857673,15,15,16,20602
