trial,density,B,num_digits,x,y,carry_mass,carry_depth,carry_entropy,carry_count,x_support_size,y_support_size,raw_support_size,final_support_size,max_raw_coefficient
0,0.2,10,8,60005000,70002040,13,15,2.161978179679554,5,2,3,5,8,47
1,0.2,10,8,20000000,68004101,2,15,1.0,2,1,5,5,6,16
2,0.2,10,8,20000000,60000000,1,15,-0.0,1,1,1,1,2,12
3,0.2,10,8,70610906,40000000,9,15,1.974937501201927,4,5,1,5,9,36
4,0.2,10,8,70000000,10070060,8,12,1.0,2,1,3,3,5,49
5,0.2,10,8,10400500,90000280,16,13,2.4056390622295662,6,3,3,8,10,47
6,0.2,10,8,50000009,40005007,21,15,2.1465431628392286,5,2,3,5,9,71
7,0.2,10,8,30004000,50000600,6,15,1.9182958340544896,4,2,2,4,7,24
8,0.2,10,8,56000060,90000000,15,15,1.584962500721156,3,3,1,3,4,54
9,0.2,10,8,90009000,80006000,25,15,1.672629192274968,4,2,2,3,7,126
10,0.2,10,8,10000053,80016000,10,9,1.8464393446710154,4,3,3,8,9,40
11,0.2,10,8,90000050,70000060,17,15,1.4836591643979626,3,2,2,3,5,89
12,0.2,10,8,52000000,20000000,1,15,-0.0,1,2,1,2,2,10
13,0.2,10,8,40600000,96300000,16,15,2.139097655573916,5,2,3,5,5,66
14,0.2,10,8,20300360,10800000,9,13,1.8365916681089791,4,4,2,7,9,48
15,0.2,10,8,90000002,30000000,2,15,-0.0,1,2,1,2,3,27
16,0.2,10,8,79000100,50000000,7,15,0.9852281360342515,2,3,1,3,4,45
17,0.2,10,8,20200009,80000000,9,15,0.9864267287308425,3,3,1,3,6,72
18,0.2,10,8,90050200,80000007,22,15,2.2814249385966776,6,3,2,6,11,72
19,0.2,10,8,40198000,50000000,10,15,1.5219280948873621,3,4,1,4,3,45
0,0.5,10,8,39000000,71650000,22,15,2.190515847687587,5,2,4,5,6,69
1,0.5,10,8,70030301,52639708,53,15,3.428103182639978,13,4,7,14,15,106
2,0.5,10,8,10004396,47106003,45,11,3.133366644504855,11,5,5,14,14,93
3,0.5,10,8,33222237,50008443,56,15,3.624518654958899,15,8,5,15,16,82
4,0.5,10,8,90030301,90100030,18,15,2.350209029099897,7,4,3,9,12,81
5,0.5,10,8,94600861,59018004,94,15,3.589825529530963,14,6,5,15,15,150
6,0.5,10,8,63020000,94760718,45,15,3.202747965425353,10,3,7,11,11,75
7,0.5,10,8,94000900,94000060,41,15,2.569264810598531,7,3,3,7,9,90
8,0.5,10,8,80341331,30006403,34,15,3.363074885865319,12,7,4,14,15,63
9,0.5,10,8,40030376,34480020,47,15,3.263299820364638,13,5,5,14,13,86
10,0.5,10,8,80006803,80066082,75,15,3.4363904867856854,12,4,5,13,15,96
11,0.5,10,8,20330000,68906807,34,15,3.2898329742278762,11,3,6,11,10,63
12,0.5,10,8,30352050,10908900,49,13,3.1168210106742427,10,5,4,11,11,106
13,0.5,10,8,42099030,52023505,60,15,3.450222422004224,13,5,6,13,11,82
14,0.5,10,8,76408800,20668503,104,15,3.320698577830513,13,5,6,13,13,137
15,0.5,10,8,50669240,12720030,47,14,3.1453272904036558,11,6,5,13,13,98
16,0.5,10,8,78381050,60660904,102,15,3.456848954586293,13,6,5,13,14,156
17,0.5,10,8,80003090,55020292,49,15,3.205748619272193,12,3,6,12,13,117
18,0.5,10,8,10090070,78056030,48,12,2.7498422368249624,8,3,5,9,11,110
19,0.5,10,8,90507000,30008000,21,15,2.0047476376636353,5,3,2,5,9,93
0,1.0,10,8,42822584,78777378,202,15,3.70588414495099,15,8,8,15,14,225
1,1.0,10,8,74367241,36794751,152,15,3.444541214057525,13,8,8,15,16,202
2,1.0,10,8,73961686,48127148,171,15,3.737263351991297,15,8,8,15,14,215
3,1.0,10,8,64485315,15154689,147,14,3.5853747815382175,14,8,8,15,14,180
4,1.0,10,8,57481698,31962238,176,15,3.678781067521598,15,8,8,15,15,211
5,1.0,10,8,49713736,22277718,153,15,3.6266975591234654,15,8,8,15,14,174
6,1.0,10,8,73697761,76149247,197,15,3.623959905576808,14,8,8,15,13,232
7,1.0,10,8,63312382,39761672,121,15,3.6486732338386187,14,8,8,15,14,163
8,1.0,10,8,31957538,76883519,208,15,3.6541512596367536,15,8,8,15,12,258
9,1.0,10,8,65653874,32636117,134,15,3.6792165420822287,15,8,8,15,16,166
10,1.0,10,8,75451598,59125662,168,15,3.708426688026224,15,8,8,15,14,221
11,1.0,10,8,14285868,81896858,240,15,3.576115550154145,15,8,8,15,13,271
12,1.0,10,8,46935118,49366773,180,15,3.6707234305661647,15,8,8,15,14,213
13,1.0,10,8,38756951,54414412,113,15,3.544054949065297,14,8,8,15,15,153
14,1.0,10,8,31648857,75234323,130,15,3.636495222091664,15,8,8,15,13,159
15,1.0,10,8,13638278,57365971,174,14,3.510403469818187,13,8,8,15,13,234
16,1.0,10,8,16276229,78144288,155,15,3.7119121058689135,15,8,8,15,16,193
17,1.0,10,8,13566392,11186748,133,13,3.3541777624622453,13,8,8,15,14,198
18,1.0,10,8,79367816,54627774,212,15,3.6593515916239,15,8,8,15,16,250
19,1.0,10,8,62397199,73161365,157,15,3.7090968482698994,15,8,8,15,14,193
